season_year,owner_id,owner_name,event_sequence,player_id,winning_bid,cumulative_spend,starting_budget,remaining_budget,overspent,budget_source,source_season_year
2018,1,NPG,19,1047,3.0,3.0,198.0,195.0,False,carry_backward,2024.0
2018,1,NPG,29,1067,3.0,6.0,198.0,192.0,False,carry_backward,2024.0
2018,1,NPG,33,1077,16.0,22.0,198.0,176.0,False,carry_backward,2024.0
2018,1,NPG,36,1090,58.0,80.0,198.0,118.0,False,carry_backward,2024.0
2018,1,NPG,39,1101,44.0,124.0,198.0,74.0,False,carry_backward,2024.0
2018,1,NPG,55,1136,1.0,125.0,198.0,73.0,False,carry_backward,2024.0
2018,1,NPG,65,1158,1.0,126.0,198.0,72.0,False,carry_backward,2024.0
2018,1,NPG,69,1175,3.0,129.0,198.0,69.0,False,carry_backward,2024.0
2018,1,NPG,78,1199,1.0,130.0,198.0,68.0,False,carry_backward,2024.0
2018,1,NPG,113,1281,1.0,131.0,198.0,67.0,False,carry_backward,2024.0
2018,1,NPG,125,1301,1.0,132.0,198.0,66.0,False,carry_backward,2024.0
2018,1,NPG,133,1317,56.0,188.0,198.0,10.0,False,carry_backward,2024.0
2018,1,NPG,135,1321,1.0,189.0,198.0,9.0,False,carry_backward,2024.0
2018,1,NPG,149,1348,7.0,196.0,198.0,2.0,False,carry_backward,2024.0
2018,2,James,4,1012,32.0,32.0,101.0,69.0,False,carry_backward,2024.0
2018,2,James,27,1064,23.0,55.0,101.0,46.0,False,carry_backward,2024.0
2018,2,James,59,1146,1.0,56.0,101.0,45.0,False,carry_backward,2024.0
2018,2,James,60,1150,1.0,57.0,101.0,44.0,False,carry_backward,2024.0
2018,2,James,82,1211,1.0,58.0,101.0,43.0,False,carry_backward,2024.0
2018,2,James,103,1264,52.0,110.0,101.0,-9.0,True,carry_backward,2024.0
2018,2,James,105,1267,1.0,111.0,101.0,-10.0,True,carry_backward,2024.0
2018,2,James,115,1283,1.0,112.0,101.0,-11.0,True,carry_backward,2024.0
2018,2,James,128,1308,2.0,114.0,101.0,-13.0,True,carry_backward,2024.0
2018,2,James,141,1335,9.0,123.0,101.0,-22.0,True,carry_backward,2024.0
2018,2,James,142,1337,1.0,124.0,101.0,-23.0,True,carry_backward,2024.0
2018,2,James,145,1340,10.0,134.0,101.0,-33.0,True,carry_backward,2024.0
2018,2,James,157,1365,41.0,175.0,101.0,-74.0,True,carry_backward,2024.0
